entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,capital_after
3147,3148,26654.19,26276.67,-1.416362680689229,-161.36818951156235,11231.772261847796
3229,3234,27404.71,27418.24,0.0493710752640786,5.545246736886779,11237.317508584683
3316,3318,26876.45,26851.38,-0.09327868821961124,-10.482022363080494,11226.835486221602
3385,3386,26649.67,26644.8,-0.018274147484749273,-2.0516084746223036,11224.783877746979
3387,3395,26691.67,26731.6,0.14959723389357166,16.79196619164107,11241.575843938619
3448,3449,26285.01,26220.55,-0.2452348315636902,-27.56825958598736,11214.007584352632
3450,3455,26252.33,26236.47,-0.0604136851852791,-6.774795238664121,11207.232789113968
3458,3459,26183.72,26224.39,0.15532552288215062,17.407692930311107,11224.64048204428
3517,3519,26666.87,26664.07,-0.010499919938107742,-1.1785782639550806,11223.461903780326
3573,3580,27689.22,27753.38,0.23171472508073487,26.006413894885593,11249.468317675211
3590,3591,27673.08,27713.43,0.14580957378072315,16.40280180659971,11265.871119481812
3621,3623,27183.98,27065.77,-0.43485170309866,-48.98983243196673,11216.881287049844
3648,3659,26811.9,27095.42,1.0574409124306623,118.6118918280441,11335.493178877889
3745,3750,25764.76,25722.33,-0.16468230249378088,-18.66755116600158,11316.825627711887
4020,4021,26551.15,26496.62,-0.20537716822059487,-23.242176006657232,11293.58345170523
4023,4024,26473.14,26423.42,-0.18781300593734315,-21.210818558689947,11272.37263314654
4068,4069,26535.17,26423.23,-0.42185522082578963,-47.55309246386622,11224.819540682674
4070,4073,26444.0,26496.0,0.19664196036908183,22.07270519269018,11246.892245875364
4088,4089,26780.56,26775.98,-0.017101957539355957,-1.9234387363867225,11244.968807138977
4090,4092,26907.99,26812.01,-0.35669702567900163,-40.110469273596244,11204.85833786538
4096,4111,27796.0,28824.41,3.699848899122175,414.5628278617115,11619.421165727092
4220,4222,30451.52,30462.66,0.0365827387269976,4.2507024866474,11623.67186821374
4261,4262,30808.63,30498.74,-1.005854528422716,-116.9172298554252,11506.754638358314
4263,4265,30710.65,30686.32,-0.07922333131992239,-9.116034351317143,11497.638604006997
4280,4281,30304.42,30337.62,0.10955497580881182,12.596235191204476,11510.234839198201
4304,4309,30433.33,30450.01,0.05480833020900655,6.308567518499864,11516.5434067167
4371,4372,30527.67,30481.27,-0.15199325726463178,-17.504369448163903,11499.039037268536
4392,4396,30660.86,30673.62,0.04161657566029915,4.785506281152196,11503.824543549688
4398,4399,30667.19,30640.12,-0.08827023277972228,-10.154452703162132,11493.670090846526
4401,4402,30640.09,30625.22,-0.048531189040237746,-5.578014759449993,11488.092076087076
4403,4412,30653.06,31050.23,1.2956944592154853,148.85057249943344,11636.94264858651
4416,4419,31288.8,31058.0,-0.7376441410344893,-85.83922564284211,11551.103422943668
4478,4479,30407.01,30313.99,-0.30591630022155025,-35.336708226234116,11515.766714717434
4561,4563,30200.0,30118.07,-0.27129139072847774,-31.241283673404062,11484.52543104403
4588,4591,30456.0,30495.91,0.13104150249540272,15.049494679306724,11499.574925723336
4594,4595,30404.31,30433.05,0.09452607212595175,10.870096488467103,11510.445022211803
4761,4762,29990.65,29884.01,-0.3555774883172024,-40.92855130411318,11469.516470907689
4764,4766,29831.99,29912.0,0.26820202071668164,30.761474941407055,11500.277945849097
4816,4817,29756.73,29687.84,-0.2315106532202948,-26.624368594584745,11473.653577254512
4818,4819,29756.0,29739.72,-0.054711654792306885,-6.277425737252658,11467.37615151726
4837,4842,29881.07,29875.99,-0.017000729893534967,-1.949537645395094,11465.426613871865
5035,5040,29355.23,29326.73,-0.09708661795530132,-11.13139493355522,11454.29521893831
5083,5085,29208.27,29209.99,0.005888743153912108,0.6745140255341117,11454.969732963844
5086,5088,29232.25,29200.54,-0.10847608377733198,-12.42590256419788,11442.543830399645
5099,5100,28878.57,28869.02,-0.033069504480309354,-3.783992544655372,11438.75983785499
5387,5388,29389.99,29375.99,-0.04763526629304739,-5.44888370938438,11433.310954145605
5412,5417,29384.92,29330.01,-0.1868645550166543,-21.364805638134577,11411.94614850747
5448,5451,29245.47,29208.37,-0.1268572534481483,-14.47688144897832,11397.469267058492
5457,5458,29197.33,29164.67,-0.11185954332126768,-12.749157072313464,11384.720109986178
5560,5561,26124.18,26113.81,-0.0396950258342998,-4.5191675888217375,11380.200942397356
5562,5567,26137.25,26142.0,0.018173296731676055,2.0681576859228663,11382.269100083278
5616,5623,26049.41,26037.99,-0.043839764509055114,-4.989959969263456,11377.279140114015
5673,5677,26088.01,25833.58,-0.9752756151197299,-110.95982911763568,11266.31931099638
5678,5679,25932.01,25935.33,0.012802709855515817,1.4423941727828151,11267.761705169163
5681,5682,26052.01,25972.36,-0.305734567121684,-34.44944247360182,11233.312262695561
5683,5692,26060.84,26062.0,0.004451122834106094,0.5000085271512821,11233.812271222712
5833,5836,26058.62,26027.27,-0.12030568003984303,-13.51491424729382,11220.297356975418
5888,5891,25905.02,25896.06,-0.034587890686821034,-3.880864184566927,11216.416492790851
6049,6050,25853.35,25861.39,0.031098484335689083,3.4881355260362095,11219.904628316888
6052,6053,25847.81,25852.01,0.016248958809265038,1.8231176814940326,11221.727745998382
6054,6056,25852.25,25830.01,-0.08602732837567949,-9.653752577474764,11212.073993420907
6100,6111,25773.08,26109.32,1.3046170655583187,146.27463072119525,11358.348624142101
6133,6136,26214.37,26094.13,-0.45867972413602914,-52.09844213562345,11306.250182006477
6198,6199,26494.5,26508.08,0.05125592104022248,5.7951226658992505,11312.045304672376
6244,6256,26647.45,26760.49,0.4242056932276855,47.9863402029153,11360.031644875291
6338,6341,26627.77,26619.99,-0.029217617547390693,-3.319130599262219,11356.712514276029
6484,6487,26449.95,26410.0,-0.15103998306235258,-17.15317665800259,11339.559337618026
