时间,资金
10120,11134.876114498607
10121,11134.876114498607
10122,11134.876114498607
10123,11134.876114498607
10124,11134.876114498607
10125,11134.876114498607
10126,11134.876114498607
10127,11134.876114498607
10128,11134.876114498607
10129,11134.876114498607
10130,11134.876114498607
10131,11134.876114498607
10132,11134.876114498607
10133,11134.876114498607
10134,11134.876114498607
10135,11134.876114498607
10136,11134.876114498607
10137,11117.629782697344
10138,11117.539312716404
10139,11168.509313282208
10140,11232.495190670996
10141,11205.755411087237
10142,11160.388649123533
10143,11218.279603231205
10144,11163.20698570367
10145,11163.20698570367
10146,11163.20698570367
10147,11163.20698570367
10148,11163.20698570367
10149,11163.20698570367
10150,11191.546228413265
10151,11187.229512082786
10152,11139.608282382454
10153,11139.608282382454
10154,11139.608282382454
10155,11139.608282382454
10156,11139.608282382454
10157,11139.608282382454
10158,11139.608282382454
10159,11139.608282382454
10160,11139.608282382454
10161,11139.608282382454
10162,11139.608282382454
10163,11139.608282382454
10164,11139.608282382454
10165,11139.608282382454
10166,11139.608282382454
10167,11139.608282382454
10168,11139.608282382454
10169,11139.608282382454
10170,11139.608282382454
10171,11139.608282382454
10172,11139.608282382454
10173,11139.608282382454
10174,11139.608282382454
10175,11139.608282382454
10176,11139.608282382454
10177,11139.608282382454
10178,11139.608282382454
10179,11139.608282382454
10180,11139.608282382454
10181,11139.608282382454
10182,11139.608282382454
10183,11139.608282382454
10184,11139.608282382454
10185,11139.608282382454
10186,11139.608282382454
10187,11139.608282382454
10188,11139.608282382454
10189,11139.608282382454
10190,11139.608282382454
10191,11139.608282382454
10192,11139.608282382454
10193,11139.608282382454
10194,11139.608282382454
10195,11139.608282382454
10196,11139.608282382454
10197,11139.608282382454
10198,11139.608282382454
10199,11139.608282382454
10200,11139.608282382454
10201,11139.608282382454
10202,11139.608282382454
10203,11139.608282382454
10204,11139.608282382454
10205,11139.608282382454
10206,11139.608282382454
10207,11139.608282382454
10208,11139.608282382454
10209,11139.608282382454
10210,11139.608282382454
10211,11139.608282382454
10212,11139.608282382454
10213,11139.608282382454
